"","word","h","h_dec"
"793","original",0.890090501075764,9
"794","italiano",0.88042612605805,8
"795","decir",0.878763151339188,8
"796","enseña",0.885500403722423,9
"797","pretender",0.905366466130067,10
"798","comportamiento",0.89385782002057,10
"799","moral",0.890552087104126,9
"800","alternativo",0.90073520152961,10
"801","heroico",0.877435272824427,8
"802","satírico",0.868168468627845,7
"803","hablar",0.85280749285987,6
"804","adulterio",0.815426116724706,4
"805","celo",0.884363902523794,9
"806","crimen",0.849671714433588,6
"807","proporcionar",0.904872650073206,10
"808","inmoral",0.872427371866631,8
"809","responder",0.87670946451765,8
